,state,district,confirmed
0,Andaman and Nicobar Islands,North and Middle Andaman,1
1,Andaman and Nicobar Islands,South Andaman,15
2,Andaman and Nicobar Islands,Unknown,1
3,Andhra Pradesh,Anantapur,36
4,Andhra Pradesh,Chittoor,59
5,Andhra Pradesh,East Godavari,26
6,Andhra Pradesh,Guntur,177
7,Andhra Pradesh,Krishna,86
8,Andhra Pradesh,Kurnool,203
9,Andhra Pradesh,Prakasam,48
10,Andhra Pradesh,S.P.S. Nellore,67
11,Andhra Pradesh,Visakhapatnam,21
12,Andhra Pradesh,West Godavari,39
13,Andhra Pradesh,Y.S.R.,51
14,Arunachal Pradesh,Lohit,1
15,Assam,Cachar,2
16,Assam,Dhubri,4
17,Assam,Goalpara,4
18,Assam,Golaghat,1
19,Assam,Hailakandi,1
20,Assam,Jorhat,8
21,Assam,Kamrup,1
22,Assam,Kamrup Metropolitan,6
23,Assam,Lakhimpur,1
24,Assam,Morigaon,3
25,Assam,Nalbari,3
26,Assam,South Salmara Mancachar,1
27,Bihar,Begusarai,9
28,Bihar,Bhagalpur,1
29,Bihar,Bhojpur,1
30,Bihar,Buxar,8
31,Bihar,East Champaran,1
32,Bihar,Gaya,5
33,Bihar,Gopalganj,3
34,Bihar,Lakhisarai,1
35,Bihar,Munger,27
36,Bihar,Nalanda,29
37,Bihar,Nawada,3
38,Bihar,Patna,16
39,Bihar,Rohtas,1
40,Bihar,Saran,1
41,Bihar,Siwan,29
42,Bihar,Vaishali,1
43,Chandigarh,Chandigarh,27
44,Chhattisgarh,Bilaspur,1
45,Chhattisgarh,Durg,1
46,Chhattisgarh,Korba,28
47,Chhattisgarh,Raipur,5
48,Chhattisgarh,Rajnandgaon,1
49,Delhi,East Delhi,1
50,Delhi,New Delhi,5
51,Delhi,North Delhi,3
52,Delhi,North East Delhi,1
53,Delhi,North West Delhi,3
54,Delhi,South Delhi,26
55,Delhi,South West Delhi,3
56,Delhi,West Delhi,2
57,Delhi,Unknown,2112
58,Goa,North Goa,6
59,Goa,South Goa,1
60,Gujarat,Ahmadabad,1434
61,Gujarat,Anand,28
62,Gujarat,Aravalli,17
63,Gujarat,Banas Kantha,15
64,Gujarat,Bharuch,24
65,Gujarat,Bhavnagar,32
66,Gujarat,Botad,9
67,Gujarat,Chota Udaipur,7
68,Gujarat,Dahod,4
69,Gujarat,Gandhinagar,17
70,Gujarat,Gir Somnath,3
71,Gujarat,Jamnagar,1
72,Gujarat,Kachchh,6
73,Gujarat,Kheda,3
74,Gujarat,Mahesana,7
75,Gujarat,Mahisagar,3
76,Gujarat,Morbi,1
77,Gujarat,Narmada,12
78,Gujarat,Navsari,1
79,Gujarat,Panch Mahals,11
80,Gujarat,Patan,15
81,Gujarat,Porbandar,3
82,Gujarat,Rajkot,41
83,Gujarat,Sabar Kantha,3
84,Gujarat,Surat,364
85,Gujarat,Tapi,1
86,Gujarat,Vadodara,207
87,Gujarat,Valsad,3
88,Haryana,Ambala,12
89,Haryana,Bhiwani,3
90,Haryana,Charki Dadri,1
91,Haryana,Faridabad,43
92,Haryana,Fatehabad,1
93,Haryana,Gurugram,41
94,Haryana,Hisar,2
95,Haryana,Jind,2
96,Haryana,Kaithal,2
97,Haryana,Karnal,6
98,Haryana,Kurukshetra,2
99,Haryana,Nuh,57
100,Haryana,Palwal,34
101,Haryana,Panchkula,18
102,Haryana,Panipat,5
103,Haryana,Rohtak,1
104,Haryana,Sirsa,4
105,Haryana,Sonipat,9
106,Haryana,Yamunanagar,3
107,Haryana,Italians*,14
108,Himachal Pradesh,Chamba,6
109,Himachal Pradesh,Hamirpur,2
110,Himachal Pradesh,Kangra,5
111,Himachal Pradesh,Sirmaur,1
112,Himachal Pradesh,Solan,9
113,Himachal Pradesh,Una,16
114,Jammu and Kashmir,Anantnag,7
115,Jammu and Kashmir,Badgam,14
116,Jammu and Kashmir,Bandipore,91
117,Jammu and Kashmir,Baramula,45
118,Jammu and Kashmir,Ganderbal,14
119,Jammu and Kashmir,Jammu,26
120,Jammu and Kashmir,Kathua,1
121,Jammu and Kashmir,Kishtwar,1
122,Jammu and Kashmir,Kulgam,6
123,Jammu and Kashmir,Kupwara,33
124,Jammu and Kashmir,Pulwama,3
125,Jammu and Kashmir,Rajouri,4
126,Jammu and Kashmir,Samba,4
127,Jammu and Kashmir,Shupiyan,32
128,Jammu and Kashmir,Srinagar,79
129,Jammu and Kashmir,Udhampur,20
130,Jammu and Kashmir,Unknown,27
131,Jharkhand,Bokaro,11
132,Jharkhand,Deoghar,1
133,Jharkhand,Dhanbad,2
134,Jharkhand,Giridih,1
135,Jharkhand,Hazaribagh,3
136,Jharkhand,Kodarma,1
137,Jharkhand,Ranchi,25
138,Jharkhand,Simdega,2
139,Karnataka,Bagalkote,21
140,Karnataka,Ballari,13
141,Karnataka,Belagavi,43
142,Karnataka,Bengaluru,102
143,Karnataka,Bengaluru Rural,5
144,Karnataka,Bidar,15
145,Karnataka,Chikkaballapura,13
146,Karnataka,Dakshina Kannada,16
147,Karnataka,Davanagere,3
148,Karnataka,Dharwad,7
149,Karnataka,Gadag,4
150,Karnataka,Kalaburagi,35
151,Karnataka,Kodagu,1
152,Karnataka,Mandya,12
153,Karnataka,Mysuru,86
154,Karnataka,Tumakuru,1
155,Karnataka,Udupi,3
156,Karnataka,Uttara Kannada,10
157,Karnataka,Vijayapura,35
158,Kerala,Alappuzha,5
159,Kerala,Ernakulam,24
160,Kerala,Idukki,10
161,Kerala,Kannur,102
162,Kerala,Kasaragod,172
163,Kerala,Kollam,10
164,Kerala,Kottayam,3
165,Kerala,Kozhikode,20
166,Kerala,Malappuram,21
167,Kerala,Palakkad,12
