,State/UT,Date,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate,New cases
0,Andaman and Nicobar Islands,2020-04-21,11.7401,92.6586,16,5,0,0.0,11,0.6875,1
1,Andhra Pradesh,2020-04-21,15.9129,79.74,722,610,20,0.027700831024930747,92,0.12742382271468145,76
2,Arunachal Pradesh,2020-04-21,28.218000000000004,94.7278,1,1,0,0.0,0,0.0,0
3,Assam,2020-04-21,26.2006,92.9376,35,15,1,0.02857142857142857,19,0.5428571428571428,0
4,Bihar,2020-04-21,25.0961,85.3131,113,69,2,0.017699115044247787,42,0.37168141592920356,20
5,Chandigarh,2020-04-21,30.7333,76.7794,26,13,0,0.0,13,0.5,0
6,Chhattisgarh,2020-04-21,21.2787,81.8661,36,11,0,0.0,25,0.6944444444444444,0
7,Delhi,2020-04-21,28.7041,77.1025,2081,1603,47,0.022585295530994715,431,0.2071119654012494,78
8,Goa,2020-04-21,15.2993,74.124,7,0,0,0.0,7,1.0,0
9,Gujarat,2020-04-21,22.2587,71.1924,1939,1737,71,0.036616812790097986,131,0.06756059824651882,196
10,Haryana,2020-04-21,29.0588,76.0856,254,124,3,0.011811023622047244,127,0.5,21
11,Himachal Pradesh,2020-04-21,31.1048,77.1734,39,22,1,0.02564102564102564,16,0.41025641025641024,0
12,Jammu and Kashmir,2020-04-21,33.7782,76.5762,368,292,5,0.01358695652173913,71,0.19293478260869565,18
13,Jharkhand,2020-04-21,23.6102,85.2799,46,44,2,0.043478260869565216,0,0.0,4
14,Karnataka,2020-04-21,15.3173,75.7139,408,280,16,0.0392156862745098,112,0.27450980392156865,18
15,Kerala,2020-04-21,10.8505,76.2711,408,114,3,0.007352941176470588,291,0.7132352941176471,6
16,Ladakh,2020-04-21,34.2996,78.2932,18,4,0,0.0,14,0.7777777777777778,0
17,Madhya Pradesh,2020-04-21,22.9734,78.6569,1485,1284,74,0.04983164983164983,127,0.08552188552188553,78
18,Maharashtra,2020-04-21,19.7515,75.7139,4666,3862,232,0.04972138876982426,572,0.12258894127732534,463
19,Manipur,2020-04-21,24.6637,93.9063,2,0,0,0.0,2,1.0,0
20,Meghalaya,2020-04-21,25.467,91.3662,11,10,1,0.09090909090909091,0,0.0,0
21,Mizoram,2020-04-21,23.1645,92.9376,1,1,0,0.0,0,0.0,0
22,Nagaland,2020-04-21,26.1584,94.5624,0,0,0,1.0,0,1.0,0
23,Odisha,2020-04-21,20.9517,85.0985,74,49,1,0.013513513513513514,24,0.32432432432432434,6
24,Puducherry,2020-04-21,11.9416,79.8083,7,4,0,0.0,3,0.42857142857142855,0
25,Punjab,2020-04-21,31.1471,75.3412,245,191,16,0.0653061224489796,38,0.15510204081632653,26
26,Rajasthan,2020-04-21,27.0238,74.2179,1576,1346,25,0.015862944162436547,205,0.13007614213197968,98
27,Tamil Nadu,2020-04-21,11.1271,78.6569,1520,1046,17,0.01118421052631579,457,0.3006578947368421,43
28,Telengana,2020-04-21,18.1124,79.0193,873,660,23,0.026345933562428408,190,0.21764032073310424,29
29,Tripura,2020-04-21,23.9408,91.9882,2,1,0,0.0,1,0.5,0
30,Uttar Pradesh,2020-04-21,26.8467,80.9462,1184,1026,18,0.015202702702702704,140,0.11824324324324324,100
31,Uttarakhand,2020-04-21,30.0668,79.0193,46,28,0,0.0,18,0.391304347826087,2
32,West Bengal,2020-04-21,22.9868,87.855,392,307,12,0.030612244897959183,73,0.18622448979591838,53
